name,path,sourceUrl,imageUrl,provider
汪穆清,assets/people/汪穆清.jpg,https://baike.baidu.com/item/%E6%B1%AA%E7%A9%86%E6%B8%85,"https://bkimg.cdn.bcebos.com/pic/55e736d12f2eb9389b5060f4ee3a9235e5dde711c127?x-bce-process=image/format,f_auto",KCrush
王南钧,assets/people/王南钧.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%8D%97%E9%92%A7,https://upload.wikimedia.org/wikipedia/commons/5/50/Krystian_Wang_during_The_Voice_Kids_Russia_in_2018_01.jpg,ZH Wikipedia
王星越,assets/people/王星越.png,https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%98%9F%E8%B6%8A,https://upload.wikimedia.org/wikipedia/commons/d/d9/Wang_Xingyue_Dec_2023.png,ZH Wikipedia
王彦霖,assets/people/王彦霖.jpg,https://baike.baidu.com/item/%E7%8E%8B%E5%BD%A6%E9%9C%96,"https://bkimg.cdn.bcebos.com/pic/8326cffc1e178a82b9018777ea48648da9773812429a?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
王一博,assets/people/王一博.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E4%B8%80%E5%8D%9A,https://upload.wikimedia.org/wikipedia/commons/7/75/20200111%E7%8E%8B%E4%B8%80%E5%8D%9A.jpg,ZH Wikipedia
王以纶,assets/people/王以纶.jpg,https://baike.baidu.com/item/%E7%8E%8B%E4%BB%A5%E7%BA%B6,"https://bkimg.cdn.bcebos.com/pic/63d0f703918fa0ec08faea8c7dcf4eee3d6d54fb6da3?x-bce-process=image/format,f_auto",KCrush
王源,assets/people/王源.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%BA%90,https://upload.wikimedia.org/wikipedia/commons/6/6a/ROYWANG20201230.jpg,ZH Wikipedia
汪卓成,assets/people/汪卓成.jpg,https://baike.baidu.com/view/5132223.htm,"https://bkimg.cdn.bcebos.com/pic/b3fb43166d224f4a20a443b412af87529822720e7b46?x-bce-process=image/format,f_auto",KCrush
王子奇,assets/people/王子奇.jpg,https://baike.baidu.com/subview/1487244/13219663.htm,"https://bkimg.cdn.bcebos.com/pic/8718367adab44aed8ccdea9fbf1c8701a08bfbce?x-bce-process=image/format,f_auto",KCrush
王子异,assets/people/王子异.jpg,https://baike.baidu.com/item/%E7%8E%8B%E5%AD%90%E5%BC%82,"https://bkimg.cdn.bcebos.com/pic/b2de9c82d158ccbf6c81c3a55480ab3eb13532faebae?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
